escola;sexo;idade;endereco;tam_familia;status_pais;esc_mae;esc_pai;trab_mae;trab_pai;motivo_escola;responsavel;tempo_viagem;tempo_estudo;reprovacoes;apoio_escola;apoio_familia;aula_paga;atividades;creche;sup_desejado;internet;namoro;rel_familia;tempo_livre;sair_amigos;alcool_semana;alcool_fds;saude;faltas;nota1;nota2;nota_final
GP;F;18;U;GT3;A;4;4;casa;professora;curso;mae;2;2;0;1;0;0;0;1;1;0;0;4;3;4;1;1;3;4;0;11;11
GP;F;17;U;GT3;T;1;1;casa;outro;curso;pai;1;2;0;0;1;0;0;0;1;1;0;5;3;3;1;1;3;2;9;11;11
GP;F;15;U;LE3;T;1;1;casa;outro;outro;mae;1;2;0;1;0;0;0;1;1;1;0;4;3;2;2;3;3;6;12;13;12
GP;F;15;U;GT3;T;4;2;saude;servicos;casa;mae;1;3;0;0;1;0;1;1;1;1;1;3;2;2;1;1;5;0;14;14;14
GP;F;16;U;GT3;T;3;3;outro;outro;casa;pai;1;2;0;0;1;0;0;1;1;0;0;4;3;2;1;2;5;0;11;13;13
GP;M;16;U;LE3;T;4;3;servicos;outro;reputacao;mae;1;2;0;0;1;0;1;1;1;1;0;5;4;2;1;2;5;6;12;12;13
GP;M;16;U;LE3;T;2;2;outro;outro;casa;mae;1;2;0;0;0;0;0;1;1;1;0;4;4;4;1;1;3;0;13;12;13
GP;F;17;U;GT3;A;4;4;outro;professora;casa;mae;2;2;0;1;1;0;0;1;1;0;0;4;1;4;1;1;1;2;10;13;13
GP;M;15;U;LE3;A;3;2;servicos;outro;casa;mae;1;2;0;0;1;0;0;1;1;1;0;4;2;2;1;1;1;0;15;16;17
GP;M;15;U;GT3;T;3;4;outro;outro;casa;mae;1;2;0;0;1;0;1;1;1;1;0;5;5;1;1;1;5;0;12;12;13
GP;F;15;U;GT3;T;4;4;professora;saude;reputacao;mae;1;2;0;0;1;0;0;1;1;1;0;3;3;3;1;2;2;2;14;14;14
GP;F;15;U;GT3;T;2;1;servicos;outro;reputacao;pai;3;3;0;0;1;0;1;1;1;1;0;5;2;2;1;1;4;0;10;12;13
GP;M;15;U;LE3;T;4;4;saude;servicos;curso;pai;1;1;0;0;1;0;1;1;1;1;0;4;3;3;1;3;5;0;12;13;12
GP;M;15;U;GT3;T;4;3;professora;outro;curso;mae;2;2;0;0;1;0;0;1;1;1;0;5;4;3;1;2;3;0;12;12;13
GP;M;15;U;GT3;A;2;2;outro;outro;casa;outro;1;3;0;0;1;0;0;1;1;1;1;4;5;2;1;1;3;0;14;14;15
GP;F;16;U;GT3;T;4;4;saude;outro;casa;mae;1;1;0;0;1;0;0;1;1;1;0;4;4;4;1;2;2;6;17;17;17
GP;F;16;U;GT3;T;4;4;servicos;servicos;reputacao;mae;1;3;0;0;1;0;1;1;1;1;0;3;2;3;1;2;2;10;13;13;14
GP;F;16;U;GT3;T;3;3;outro;outro;reputacao;mae;3;2;0;1;1;0;1;1;1;0;0;5;3;2;1;1;4;2;13;14;14
GP;M;17;U;GT3;T;3;2;servicos;servicos;curso;mae;1;1;3;0;1;1;1;1;1;1;0;5;5;5;2;4;5;2;8;8;7
GP;M;16;U;LE3;T;4;3;saude;outro;casa;pai;1;1;0;0;0;0;1;1;1;1;0;3;1;3;1;3;5;6;12;12;12
GP;M;15;U;GT3;T;4;3;professora;outro;reputacao;mae;1;2;0;0;0;0;0;1;1;1;0;4;4;1;1;1;1;0;12;13;14
GP;M;15;U;GT3;T;4;4;saude;saude;outro;pai;1;1;0;0;1;1;0;1;1;1;0;5;4;2;1;1;5;0;11;12;12
GP;M;16;U;LE3;T;4;2;professora;outro;curso;mae;1;2;0;0;0;0;1;1;1;1;0;4;5;1;1;3;5;0;12;13;14
GP;M;16;U;LE3;T;2;2;outro;outro;reputacao;mae;2;2;0;0;1;0;1;1;1;1;0;5;4;4;2;4;5;2;10;10;10
GP;F;15;R;GT3;T;2;4;servicos;saude;curso;mae;1;3;0;1;1;0;1;1;1;1;0;4;3;2;1;1;5;2;10;11;10
GP;F;16;U;GT3;T;2;2;servicos;servicos;casa;mae;1;1;0;0;1;0;0;0;1;1;0;1;2;2;1;3;5;6;10;11;12
GP;M;15;U;GT3;T;2;2;outro;outro;casa;mae;1;1;0;0;1;0;0;1;1;1;0;4;2;2;1;2;5;8;11;12;12
GP;M;15;U;GT3;T;4;2;saude;servicos;outro;mae;1;1;0;0;0;0;0;1;1;1;0;2;2;4;2;4;1;0;11;11;11
GP;M;16;U;LE3;A;3;4;servicos;outro;casa;mae;1;2;0;1;1;1;1;1;1;1;0;5;3;3;1;1;5;2;12;12;13
GP;M;16;U;GT3;T;4;4;professora;professora;casa;mae;1;2;0;0;1;1;1;1;1;1;1;4;4;5;5;5;5;4;12;11;12
GP;M;15;U;GT3;T;4;4;saude;servicos;casa;mae;1;2;0;0;1;1;0;0;1;1;0;5;4;2;3;4;5;0;10;11;11
GP;M;15;U;GT3;T;4;4;servicos;servicos;reputacao;mae;2;2;0;0;1;0;1;1;1;1;0;4;3;1;1;1;5;2;15;15;15
GP;M;15;R;GT3;T;4;3;professora;casa;curso;mae;1;2;0;0;1;0;1;1;1;1;1;4;5;2;1;1;5;0;13;14;15
GP;M;15;U;LE3;T;3;3;outro;outro;curso;mae;1;2;0;0;0;0;1;0;1;1;0;5;3;2;1;1;2;0;13;12;12
GP;M;16;U;GT3;T;3;2;outro;outro;casa;mae;1;1;0;0;1;0;0;0;1;1;0;5;4;3;1;1;5;4;12;12;12
GP;F;15;U;GT3;T;2;3;outro;outro;outro;pai;2;1;0;0;1;0;1;1;1;0;0;3;5;1;1;1;5;4;11;11;11
GP;M;15;U;LE3;T;4;3;professora;servicos;casa;mae;1;3;0;0;1;0;1;1;1;1;0;5;4;3;1;1;4;0;14;14;14
GP;M;16;R;GT3;A;4;4;outro;professora;reputacao;mae;2;3;0;0;1;0;1;1;1;1;1;2;4;3;1;1;5;4;13;13;13
GP;F;15;R;GT3;T;3;4;servicos;saude;curso;mae;1;3;0;1;1;0;1;1;1;1;0;4;3;2;1;1;5;2;11;12;12
GP;F;15;R;GT3;T;2;2;casa;outro;reputacao;mae;1;1;0;1;1;0;1;1;1;0;0;4;3;1;1;1;2;8;14;13;12
GP;F;16;U;LE3;T;2;2;outro;outro;casa;mae;2;2;0;0;1;0;1;0;1;1;1;3;3;3;1;2;3;16;11;11;10
GP;M;15;U;LE3;T;4;4;professora;outro;casa;outro;1;1;0;0;1;0;0;0;1;1;1;5;4;3;2;4;5;8;10;11;11
GP;M;15;U;GT3;T;4;4;servicos;professora;curso;pai;1;2;0;0;1;0;1;1;1;1;0;4;3;3;1;1;5;0;14;15;15
GP;M;15;U;GT3;T;2;2;servicos;servicos;curso;pai;1;1;0;1;1;0;0;1;1;1;0;5;4;1;1;1;1;0;9;10;10
GP;F;16;U;LE3;T;2;2;outro;casa;curso;pai;2;2;1;1;0;0;1;1;1;1;0;4;3;3;2;2;5;14;10;11;11
GP;F;15;U;LE3;A;4;3;outro;outro;curso;mae;1;2;0;1;1;1;1;1;1;1;1;5;2;2;1;1;5;4;10;11;11
GP;F;16;U;LE3;A;3;3;outro;servicos;casa;mae;1;2;0;0;1;0;0;1;1;1;0;2;3;5;1;4;3;6;13;12;13
GP;M;16;U;GT3;T;4;3;saude;servicos;reputacao;mae;1;4;0;0;0;0;1;1;1;1;0;4;2;2;1;1;2;2;17;17;17
GP;M;15;U;GT3;T;4;2;professora;outro;casa;mae;1;2;0;0;1;0;0;1;1;0;0;4;3;3;2;2;5;4;11;12;13
GP;F;15;U;GT3;T;4;4;servicos;professora;outro;pai;1;2;0;1;1;0;1;0;1;1;0;4;4;4;1;1;3;2;13;12;12
GP;F;16;U;LE3;T;2;2;servicos;servicos;curso;mae;3;2;0;0;1;0;0;1;1;1;0;4;3;3;2;3;4;0;14;13;13
GP;F;15;U;LE3;T;4;2;saude;outro;outro;mae;1;2;0;0;1;0;0;1;1;1;0;4;3;3;1;1;5;0;16;14;16
GP;M;15;U;LE3;A;4;2;saude;saude;outro;pai;2;1;0;0;0;0;0;1;1;0;0;5;5;5;3;4;5;4;10;9;9
GP;F;15;U;GT3;T;4;4;servicos;servicos;curso;mae;1;1;0;1;1;0;0;1;1;1;0;3;3;4;2;3;5;0;13;12;12
GP;F;15;U;LE3;A;3;3;outro;outro;outro;mae;1;1;0;0;0;0;0;1;1;1;0;5;3;4;4;4;1;0;13;12;13
GP;F;16;U;GT3;A;2;1;outro;outro;outro;mae;1;2;0;0;0;0;1;1;1;1;1;5;3;4;1;1;2;2;12;13;12
GP;F;15;U;GT3;A;4;3;servicos;servicos;reputacao;mae;1;2;0;0;1;0;1;1;1;1;0;4;3;2;1;1;1;0;15;14;15
GP;M;15;U;GT3;T;4;4;professora;saude;reputacao;mae;1;2;0;0;1;0;1;1;1;0;0;3;2;2;1;1;5;8;15;15;16
GP;M;15;U;LE3;T;1;2;outro;casa;casa;pai;1;2;0;1;1;0;1;1;1;1;0;4;3;2;1;1;5;0;14;13;14
GP;F;16;U;GT3;T;4;2;servicos;outro;curso;mae;1;2;0;0;1;1;0;1;1;1;0;4;2;3;1;1;5;2;16;15;16
GP;F;16;R;GT3;T;4;4;saude;professora;outro;mae;1;2;0;0;1;0;1;1;1;0;0;2;4;4;2;3;4;0;17;16;16
GP;F;16;U;GT3;T;1;1;servicos;servicos;curso;pai;4;1;0;1;1;0;1;0;1;1;1;5;5;5;5;5;5;0;10;10;16
GP;F;16;U;LE3;T;1;2;outro;servicos;reputacao;pai;1;2;0;1;0;0;1;1;1;1;0;4;4;3;1;1;1;0;13;13;10
GP;F;16;U;GT3;T;4;3;professora;saude;casa;mae;1;3;0;1;1;0;1;1;1;1;0;3;4;4;2;4;4;0;14;13;13
GP;F;15;U;LE3;T;4;3;servicos;servicos;reputacao;pai;1;2;0;1;0;0;1;1;1;1;1;4;4;4;2;4;2;0;13;12;12
GP;F;16;U;LE3;T;4;3;professora;servicos;curso;mae;3;2;0;0;1;0;1;1;1;1;0;5;4;3;1;2;1;2;16;15;16
GP;M;15;U;GT3;A;4;4;outro;servicos;reputacao;mae;1;4;0;0;1;0;1;0;1;1;1;1;3;3;5;5;3;0;11;12;12
GP;F;16;U;GT3;T;3;1;servicos;outro;curso;mae;1;4;0;1;1;0;0;1;1;1;0;4;3;3;1;2;5;0;10;9;10
GP;F;15;R;LE3;T;2;2;saude;servicos;reputacao;mae;2;2;0;1;1;0;0;1;1;1;0;4;1;3;1;3;4;0;11;10;11
GP;F;15;R;LE3;T;3;1;outro;outro;reputacao;pai;2;4;0;0;1;0;0;0;1;1;0;4;4;2;2;3;3;6;15;15;15
GP;M;16;U;GT3;T;3;1;outro;outro;reputacao;pai;2;4;0;0;1;0;0;1;1;1;0;4;3;2;1;1;5;2;13;11;11
GP;M;15;U;GT3;T;4;2;outro;outro;curso;mae;1;4;0;0;0;0;0;1;1;1;0;3;3;3;1;1;3;0;11;9;10
GP;F;15;R;GT3;T;1;1;outro;outro;reputacao;mae;1;2;0;1;1;0;0;0;1;1;1;3;3;4;2;4;5;2;13;11;11
GP;M;16;U;GT3;T;3;1;outro;outro;reputacao;mae;1;1;0;0;0;0;1;1;1;0;0;5;3;2;2;2;5;0;13;13;14
GP;F;16;U;GT3;T;3;3;outro;servicos;casa;mae;1;2;0;1;1;0;1;1;1;1;0;4;3;3;2;4;5;4;11;11;11
GP;M;15;U;GT3;T;4;3;professora;outro;casa;mae;1;2;0;0;1;0;1;1;1;1;0;4;3;3;2;3;5;0;11;11;11
GP;M;15;U;GT3;T;4;0;professora;outro;curso;mae;2;4;0;0;0;0;1;1;1;1;0;3;4;3;1;1;1;0;12;11;11
GP;F;16;U;GT3;T;2;2;outro;outro;reputacao;mae;1;4;0;0;0;0;0;1;1;1;1;5;2;3;1;3;3;1;13;13;13
GP;M;17;U;GT3;T;2;1;outro;outro;casa;mae;2;1;3;1;1;0;1;1;0;1;0;4;5;1;1;1;3;0;9;9;10
GP;F;16;U;GT3;T;3;4;casa;outro;curso;mae;1;2;0;0;1;0;0;1;1;1;0;2;4;3;1;2;3;14;12;11;11
GP;M;15;U;GT3;T;2;3;outro;servicos;curso;pai;1;1;0;1;1;0;1;0;1;1;1;3;2;2;1;3;3;0;11;11;12
GP;M;15;U;GT3;T;2;3;outro;outro;casa;mae;1;3;0;1;0;0;0;0;1;1;0;5;3;2;1;2;5;2;10;9;9
GP;F;15;U;LE3;T;3;2;servicos;outro;reputacao;mae;1;2;0;0;1;0;0;1;1;1;0;4;4;4;1;1;5;4;12;11;11
GP;M;15;U;LE3;T;2;2;servicos;servicos;casa;mae;2;2;0;0;0;1;1;1;1;1;0;5;3;3;1;3;4;2;13;12;13
GP;F;15;U;GT3;T;1;1;outro;outro;casa;pai;1;2;0;0;1;0;1;0;1;1;0;4;3;2;2;3;4;2;13;12;12
GP;F;15;U;GT3;T;4;4;servicos;servicos;reputacao;pai;2;2;0;0;0;0;0;1;1;1;1;4;4;4;2;3;5;4;12;11;12
GP;F;16;U;LE3;T;2;2;casa;outro;curso;mae;1;2;0;0;1;0;0;1;1;0;0;4;3;4;1;2;2;6;13;11;11
GP;F;15;U;GT3;T;4;2;outro;outro;reputacao;mae;1;3;0;0;1;0;1;1;1;1;0;5;3;3;1;3;1;4;15;15;15
GP;M;16;U;GT3;T;2;2;servicos;outro;reputacao;pai;2;2;0;0;0;0;1;0;1;1;0;4;4;2;1;1;3;6;12;10;11
GP;M;16;U;LE3;A;4;4;professora;saude;reputacao;mae;1;2;0;0;1;0;0;1;1;0;0;4;1;3;3;5;5;6;9;9;10
GP;F;16;U;GT3;T;3;3;outro;outro;casa;mae;1;3;0;0;1;0;0;1;1;1;1;4;3;3;1;3;4;2;9;11;11
GP;F;15;U;GT3;T;4;3;servicos;outro;reputacao;mae;1;1;0;0;0;0;1;1;1;1;0;4;5;5;1;3;1;6;14;13;13
GP;F;16;U;LE3;T;3;1;outro;outro;casa;pai;1;2;0;1;1;0;0;1;1;0;0;3;3;3;2;3;2;0;12;13;12
GP;F;16;U;GT3;T;4;2;professora;servicos;casa;mae;2;2;0;0;1;0;1;1;1;1;0;5;3;3;1;1;1;2;13;14;14
GP;M;15;U;LE3;T;2;2;servicos;saude;reputacao;mae;1;4;0;0;1;0;1;1;1;1;0;4;3;4;1;1;4;2;11;12;12
GP;F;15;R;GT3;T;1;1;casa;outro;casa;mae;2;4;0;1;1;1;1;1;1;1;0;3;1;2;1;1;1;4;13;13;13
GP;M;16;R;GT3;T;4;3;servicos;outro;reputacao;mae;2;1;0;1;1;1;1;0;1;1;0;3;3;3;1;1;4;6;9;11;11
GP;F;16;U;GT3;T;2;1;outro;outro;curso;mae;1;2;0;0;1;0;0;1;1;0;1;4;3;5;1;1;5;0;13;12;12
GP;F;16;U;GT3;T;4;4;outro;outro;reputacao;mae;1;1;0;0;0;0;1;0;1;1;0;5;3;4;1;2;1;4;12;13;13
GP;F;16;U;GT3;T;4;3;outro;casa;curso;mae;1;3;0;1;1;0;0;1;1;1;0;5;3;5;1;1;3;2;12;13;13
GP;M;16;U;GT3;T;4;4;servicos;servicos;outro;mae;1;1;0;1;1;0;1;1;1;1;0;4;5;5;5;5;4;12;9;9;8
GP;M;16;U;GT3;T;4;4;servicos;professora;outro;pai;1;3;0;0;1;0;1;1;1;1;1;4;4;3;1;1;4;0;16;16;16
GP;M;15;U;GT3;T;4;4;servicos;outro;curso;mae;1;1;0;0;1;1;1;0;1;1;0;5;3;3;1;1;5;2;12;13;12
GP;F;15;U;GT3;T;3;2;servicos;outro;casa;mae;2;2;0;1;1;0;0;1;1;1;0;4;3;5;1;1;2;16;11;10;10
GP;M;15;U;GT3;A;3;4;servicos;outro;curso;mae;1;2;0;0;1;0;1;1;1;1;0;5;4;4;1;1;1;0;16;16;16
GP;F;15;U;GT3;A;3;3;outro;saude;reputacao;pai;1;4;0;1;0;0;0;1;1;0;0;4;3;3;1;1;4;10;10;10;10
GP;F;15;U;GT3;T;2;2;outro;outro;curso;mae;1;4;0;1;1;0;0;1;1;1;0;5;1;2;1;1;3;4;10;10;10
GP;M;16;U;GT3;T;3;3;servicos;outro;casa;pai;1;3;0;0;1;0;1;1;1;1;0;5;3;3;1;1;5;4;13;14;14
GP;M;15;R;GT3;T;4;4;outro;outro;casa;pai;4;4;0;0;1;0;1;1;1;1;1;1;3;5;3;5;1;8;12;10;11
GP;F;16;U;LE3;T;4;4;saude;saude;outro;mae;1;3;0;0;1;0;1;1;1;1;1;5;4;5;1;1;4;2;15;15;14
GP;M;15;U;LE3;A;4;4;professora;professora;curso;mae;1;1;0;0;0;0;1;1;1;1;0;5;5;3;1;1;4;4;13;14;14
GP;F;16;R;GT3;T;3;3;servicos;outro;reputacao;pai;1;3;0;1;1;0;1;1;1;1;0;4;1;2;1;1;2;4;11;11;11
GP;F;16;U;GT3;T;2;2;casa;outro;casa;mae;1;2;1;1;0;0;1;1;1;1;0;3;1;2;1;1;5;12;8;10;10
GP;M;15;U;LE3;T;4;2;professora;outro;curso;mae;1;1;0;0;0;0;0;1;1;1;0;3;5;2;1;1;3;10;18;17;18
GP;M;15;R;GT3;T;2;1;saude;servicos;reputacao;mae;1;2;0;0;0;0;1;1;1;1;1;5;4;2;1;1;5;4;10;9;10
GP;M;16;U;GT3;T;4;4;professora;professora;curso;pai;1;2;0;0;1;0;1;1;1;1;0;5;4;4;1;2;5;6;16;14;14
GP;M;15;U;GT3;T;4;4;outro;professora;reputacao;pai;2;2;0;0;1;0;1;1;1;0;0;4;4;3;1;1;2;4;16;15;16
GP;M;16;U;GT3;T;3;3;outro;servicos;casa;pai;2;1;0;0;0;0;1;1;1;1;0;5;4;2;1;1;5;6;14;14;15
GP;M;17;R;GT3;T;1;3;outro;outro;curso;pai;3;2;1;0;1;0;1;1;1;1;0;5;2;4;1;4;5;14;12;11;11
GP;M;15;U;GT3;T;3;4;outro;outro;reputacao;pai;1;1;0;0;0;0;0;1;1;1;0;3;4;3;1;2;4;2;14;13;14
GP;F;15;U;GT3;T;1;2;casa;servicos;curso;mae;1;2;0;0;0;0;0;0;1;1;0;3;2;3;1;2;1;0;14;14;14
GP;M;15;U;GT3;T;2;2;servicos;servicos;casa;pai;1;4;0;0;1;0;1;1;1;1;0;5;5;4;1;2;5;6;14;13;13
GP;F;16;U;LE3;T;2;4;outro;saude;curso;pai;2;2;0;0;1;0;1;1;1;1;1;4;2;2;1;2;5;2;14;12;13
GP;M;16;U;GT3;T;4;4;saude;outro;curso;mae;1;1;0;0;1;0;1;1;1;1;0;3;4;4;1;4;5;4;12;13;13
GP;F;16;U;GT3;T;2;2;outro;outro;casa;mae;1;2;0;0;0;0;0;1;1;1;1;5;4;4;1;1;5;0;12;11;11
GP;M;15;U;GT3;T;3;4;servicos;servicos;casa;pai;1;1;0;1;0;0;0;1;1;1;0;5;5;5;3;2;5;2;9;9;9
GP;F;15;U;LE3;A;3;4;outro;outro;casa;mae;1;2;0;1;0;0;1;1;1;1;1;5;3;2;1;1;1;0;10;11;11
GP;F;19;U;GT3;T;0;1;casa;outro;curso;outro;1;2;2;0;1;0;0;0;0;0;0;3;4;2;1;1;5;0;9;10;11
GP;M;16;R;GT3;T;4;4;professora;professora;curso;mae;1;1;0;0;0;0;1;1;1;1;0;3;5;5;2;5;4;8;14;14;15
GP;M;16;U;GT3;T;2;3;outro;outro;curso;mae;2;3;0;0;1;0;0;0;1;1;1;3;2;3;2;2;1;4;13;12;13
GP;F;15;R;GT3;T;3;4;servicos;professora;curso;pai;2;3;0;0;1;0;0;1;1;1;1;4;2;2;2;2;5;0;10;11;12
GP;F;18;U;GT3;T;2;1;servicos;outro;reputacao;mae;1;2;3;0;1;0;1;1;0;1;1;5;4;5;1;3;5;10;10;9;8
GP;F;17;U;LE3;A;2;1;outro;outro;curso;mae;3;1;0;0;1;0;0;1;1;1;0;3;2;2;1;2;5;8;11;10;11
GP;F;15;U;GT3;T;1;1;casa;outro;curso;mae;3;1;0;0;1;0;1;0;1;1;1;4;3;3;1;2;4;6;11;12;13
GP;F;17;U;LE3;T;2;2;outro;outro;curso;pai;1;1;0;0;1;0;0;1;1;1;1;3;4;4;1;3;5;2;13;12;12
GP;F;16;U;GT3;A;3;4;servicos;outro;curso;pai;1;1;0;0;0;0;0;1;1;1;0;3;2;1;1;4;5;12;15;13;14
GP;M;16;U;GT3;T;2;1;casa;outro;curso;mae;4;1;0;0;0;0;0;1;1;0;0;3;2;1;1;1;2;4;9;9;11
GP;F;16;U;GT3;A;2;2;outro;outro;casa;mae;1;1;1;0;0;0;0;1;1;0;0;5;3;4;1;1;5;12;13;11;11
GP;M;15;R;GT3;T;3;4;casa;professora;curso;mae;4;2;0;0;1;0;0;1;1;0;1;5;3;3;1;1;5;2;12;11;11
GP;F;15;U;GT3;T;4;4;servicos;casa;curso;mae;1;3;0;0;1;0;1;1;1;1;1;4;3;3;1;1;5;4;13;14;15
GP;M;17;R;GT3;T;3;4;casa;outro;curso;mae;3;2;0;0;0;0;0;1;1;0;0;5;4;5;2;4;5;2;10;9;10
GP;F;16;R;GT3;T;1;1;casa;outro;curso;mae;4;2;0;0;1;0;0;1;1;0;0;5;1;3;1;1;3;0;14;13;13
GP;M;18;U;LE3;T;3;1;servicos;servicos;curso;mae;2;1;0;0;0;0;1;1;1;1;1;3;3;4;4;5;4;2;11;11;12
GP;F;18;U;GT3;A;3;2;outro;servicos;curso;outro;1;3;0;0;1;0;1;0;1;1;1;4;3;3;5;1;5;10;12;11;11
GP;F;16;R;GT3;T;1;1;outro;servicos;reputacao;mae;2;1;0;0;1;0;1;1;1;0;1;3;3;3;1;2;1;8;12;11;11
GP;F;16;U;GT3;A;3;3;outro;outro;curso;outro;2;1;0;0;1;0;1;0;1;1;1;4;3;2;1;1;5;4;9;9;10
GP;M;16;U;LE3;T;1;1;servicos;outro;curso;mae;1;2;2;0;0;0;0;1;1;0;1;4;4;4;1;3;5;0;10;10;10
GP;F;15;U;GT3;T;4;4;professora;professora;curso;mae;2;1;0;0;0;0;1;1;1;1;0;4;3;2;1;1;5;6;13;14;14
GP;F;15;R;GT3;T;1;1;outro;outro;curso;mae;3;1;1;0;0;0;1;1;1;1;1;5;5;5;1;1;1;2;8;9;9
GP;M;15;U;GT3;T;4;3;professora;servicos;curso;pai;2;4;0;1;1;0;0;1;1;1;0;2;2;2;1;1;3;6;9;11;11
GP;F;15;U;GT3;A;3;3;servicos;servicos;casa;mae;1;2;0;0;0;0;0;0;1;0;1;1;3;2;2;3;1;24;9;8;9
GP;M;16;U;GT3;T;4;4;servicos;servicos;curso;mae;1;3;0;0;1;0;1;1;1;1;0;5;3;3;1;3;5;0;15;13;13
GP;M;16;U;LE3;T;2;2;servicos;servicos;reputacao;pai;2;1;0;0;1;0;1;1;1;1;0;2;3;3;2;2;2;4;12;11;11
GP;F;15;U;GT3;T;4;4;professora;servicos;curso;mae;1;3;0;0;1;0;1;1;1;1;0;4;2;2;1;1;5;2;13;13;13
GP;F;16;U;LE3;T;1;1;casa;casa;curso;mae;1;1;0;0;0;0;0;1;1;1;0;3;4;4;3;3;1;4;10;11;11
GP;M;17;U;GT3;T;2;1;outro;outro;casa;mae;1;1;0;0;1;0;0;1;1;1;0;5;4;5;1;2;5;22;9;7;6
GP;F;15;U;GT3;T;1;1;outro;servicos;curso;pai;1;2;0;0;1;0;0;1;1;1;0;4;4;2;1;2;5;0;12;12;12
